"","totalEntropies$V4","totalEntropies$V4.1","totalEntropies$V4.2","totalEntropies$V4.3","totalEntropies$V4.4","totalEntropies$V4.5","totalEntropies$V4.6","totalEntropies$V4.7","totalEntropies$V4.8","totalEntropies$V4.9","totalEntropies$V4.10","totalEntropies$V4.11","totalEntropies$V4.12","totalEntropies$V4.13","totalEntropies$V4.14","totalEntropies$V4.15","totalEntropies$V4.16","totalEntropies$V4.17","totalEntropies$V4.18","totalEntropies$V4.19","totalEntropies$V4.20","totalEntropies$V4.21","totalEntropies$V4.22","totalEntropies$V4.23","totalEntropies$V4.24","totalEntropies$V4.25","totalEntropies$V4.26","totalEntropies$V4.27","totalEntropies$V4.28","totalEntropies$V4.29","totalEntropies$V4.30","totalEntropies$V4.31","totalEntropies$V4.32","totalEntropies$V4.33","totalEntropies$V4.34","totalEntropies$V4.35","totalEntropies$V4.36","totalEntropies$V4.37","totalEntropies$V4.38","totalEntropies$V4.39","totalEntropies$V4.40","totalEntropies$V4.41","totalEntropies$V4.42","totalEntropies$V4.43","totalEntropies$V4.44","totalEntropies$V4.45","totalEntropies$V4.46","totalEntropies$V4.47","totalEntropies$V4.48","totalEntropies$V4.49"
"39",0.781702181515498,0.732231824658248,0.738807530149629,0.754536259625674,0.741486594607501,0.732980559145425,0.799892294524553,0.683924771581942,0.786835747374504,0.728154818058632,0.794482821476203,0.800761746696291,0.758892112255473,0.735875971551193,0.763629015414042,0.765627747330196,0.803154450835997,0.811912559656781,0.725041626357759,0.700541846267971,0.781120827826967,0.835385892061029,0.748329261442066,0.753413509458552,0.785965441879143,0.771759781997475,0.749347979361967,0.783834410353498,0.776692002740164,0.803562398694344,0.825849879264188,0.78278760649536,0.762102601969235,0.784841504960948,0.814077975117338,0.736906314455119,0.80264286766174,0.777603279224372,0.703084636546437,0.771447216816435,0.712130444242173,0.753288836320073,0.816627531529809,0.777733833840748,0.842357243358311,0.714379762081377,0.765620385429374,0.777828170083591,0.735053396666617,0.745263266508696
"40",0.769241136817334,0.732231824658248,0.738807530149629,0.754536259625674,0.741486594607501,0.721770638942557,0.799892294524553,0.673201546164074,0.786835747374504,0.728154818058632,0.780922072271574,0.785313958214185,0.74667662192466,0.735875971551193,0.749640518823144,0.765627747330196,0.803154450835997,0.798847673361625,0.725041626357759,0.700541846267971,0.767932110400224,0.835385892061029,0.736442140313736,0.753413509458552,0.773160753211742,0.759551302750034,0.749347979361967,0.769956360779842,0.764884348065116,0.790349997701852,0.810324999622594,0.78278760649536,0.762102601969235,0.772356807784174,0.801128205089405,0.736906314455119,0.788404546417482,0.765217932447258,0.691123078862794,0.771447216816435,0.712130444242173,0.738626277170257,0.802169095405094,0.777733833840748,0.842357243358311,0.714379762081377,0.753123183591546,0.777828170083591,0.721445054288955,0.730857306189748
"41",0.756780092119171,0.732231824658248,0.738807530149629,0.754536259625674,0.741486594607501,0.710560718739689,0.799892294524553,0.673201546164074,0.786835747374504,0.728154818058632,0.767361323066944,0.772619759585813,0.734461131593848,0.735875971551193,0.735652022232245,0.765627747330196,0.803154450835997,0.785782787066469,0.725041626357759,0.700541846267971,0.753168840738478,0.820025788386457,0.736442140313736,0.753413509458552,0.760356064544342,0.747342823502592,0.749347979361967,0.756078311206186,0.753076693390069,0.777137596709361,0.794800119981001,0.769884957684889,0.762102601969235,0.7598721106074,0.788178435061471,0.736906314455119,0.774166225173224,0.751353944888164,0.691123078862794,0.771447216816435,0.712130444242173,0.726577339649938,0.787710659280379,0.765354145018467,0.827481925156828,0.714379762081377,0.739133987009396,0.765057038060017,0.707836711911292,0.719019228400619
"42",0.756780092119171,0.732231824658248,0.725770230079554,0.741932144890744,0.741486594607501,0.69935079853682,0.799892294524553,0.673201546164074,0.786835747374504,0.728154818058632,0.752181606128184,0.759925560957441,0.734461131593848,0.735875971551193,0.721663525641346,0.765627747330196,0.789556909325675,0.771158132277496,0.725041626357759,0.700541846267971,0.738405571076733,0.804665684711886,0.736442140313736,0.753413509458552,0.746022671416348,0.735134344255151,0.749347979361967,0.744674043335323,0.741269038715021,0.76392519571687,0.782042571799897,0.756982308874418,0.749363390893677,0.747387413430625,0.773682639845455,0.736906314455119,0.762465904559789,0.73748995732907,0.691123078862794,0.758125162106437,0.712130444242173,0.714528402129618,0.773252223155664,0.751496490896526,0.812606606955344,0.714379762081377,0.725144790427247,0.752285906036443,0.694228369533631,0.707181150611491
"43",0.756780092119171,0.732231824658248,0.712732930009479,0.727823271475802,0.741486594607501,0.688140878333952,0.799892294524553,0.673201546164074,0.772620063405417,0.71558889117828,0.739707694916473,0.747231362329069,0.734461131593848,0.735875971551193,0.710168498088188,0.765627747330196,0.775959367815353,0.756533477488523,0.725041626357759,0.688082551275023,0.723642301414987,0.789305581037315,0.736442140313736,0.753413509458552,0.731689278288355,0.722925865007709,0.736344224477749,0.733269775464459,0.729461384039974,0.76392519571687,0.769285023618794,0.742539260503882,0.73662417981812,0.733412214394803,0.759186844629439,0.723930282385901,0.750765583946353,0.72609724489905,0.691123078862794,0.744803107396439,0.700329164001557,0.702479464609298,0.758793787030949,0.737638836774584,0.795955379485153,0.701177089149663,0.711155593845098,0.739514774012869,0.680620027155968,0.707181150611491
"44",0.756780092119171,0.732231824658248,0.699695629939404,0.71371439806086,0.741486594607501,0.676930958131084,0.799892294524553,0.661544018056941,0.758404379436331,0.701522764724752,0.727233783704762,0.734537163700697,0.734461131593848,0.735875971551193,0.698673470535029,0.750901116685526,0.763451613049163,0.741908822699549,0.710324379666139,0.67413578709588,0.708879031753242,0.773945477362743,0.723519307559002,0.753413509458552,0.717355885160361,0.710717385760267,0.721787999352955,0.721865507593595,0.717653729364926,0.76392519571687,0.756527475437691,0.730670705660116,0.722364081409689,0.719437015358981,0.744691049413423,0.710954250316683,0.739065263332917,0.71470453246903,0.691123078862794,0.731481052686441,0.688527883760941,0.690430527088978,0.744335350906234,0.723781182652643,0.779304152014962,0.687974416217948,0.697166397262948,0.726743641989295,0.669437390797046,0.707181150611491
"45",0.756780092119171,0.732231824658248,0.68665832986933,0.699605524645918,0.728128912827803,0.676930958131084,0.799892294524553,0.649886489949807,0.744188695467245,0.687456638271224,0.714759872493051,0.721842965072324,0.734461131593848,0.723272492896005,0.687178442981871,0.736174486040855,0.750943858282973,0.727284167910576,0.698230502734656,0.662675053093846,0.696747335510281,0.758585373688172,0.710596474804268,0.753413509458552,0.703022492032368,0.698508906512826,0.707231774228162,0.710461239722731,0.705846074689878,0.76392519571687,0.743769927256588,0.71880215081635,0.708103983001257,0.705461816323159,0.730195254197407,0.697978218247465,0.727364942719482,0.703311820039009,0.691123078862794,0.718158997976443,0.675317692283735,0.67733177906022,0.72987691478152,0.712393674715764,0.765621029077484,0.674771743286234,0.685670794492957,0.713972509965721,0.658254754438125,0.707181150611491
"46",0.743233330473087,0.732231824658248,0.674665915507811,0.687001409910987,0.714771231048106,0.676930958131084,0.799892294524553,0.638228961842673,0.728275853522795,0.675897818486779,0.70228596128134,0.709148766443952,0.721181319193692,0.710669014240817,0.675683415428712,0.721447855396185,0.738436103516783,0.715266378245885,0.686136625803173,0.651214319091812,0.684615639267321,0.741391483998773,0.696130832802953,0.739333678778859,0.691244046231141,0.686300427265384,0.692675549103369,0.699056971851868,0.694038420014831,0.76392519571687,0.729900828109281,0.706933595972584,0.693843884592826,0.693977716017329,0.718283354706974,0.685002186178247,0.715664622106046,0.691919107608989,0.678119323978576,0.705904650882306,0.662107500806528,0.664233031031461,0.715418478656805,0.701006166778886,0.751937906140006,0.659992852023351,0.674175191722965,0.699676679685253,0.647072118079203,0.707181150611491
"47",0.728069271015796,0.732231824658248,0.662673501146293,0.674397295176057,0.69981882500371,0.676930958131084,0.785043713813759,0.626571433735539,0.712363011578346,0.664338998702334,0.689812050069629,0.693700977961846,0.707901506793536,0.698065535585629,0.664188387875554,0.704963066740744,0.725928348750593,0.703248588581193,0.67404274887169,0.639753585089778,0.67248394302436,0.724197594309375,0.684243711674623,0.725253848099167,0.679465600429915,0.674091948017943,0.678119323978576,0.686659062821218,0.68120197753696,0.749561612939243,0.716031728961975,0.695065041128819,0.679583786184395,0.682493615711498,0.706371455216541,0.672026154109029,0.70396430149261,0.680526395178969,0.665115569094358,0.693650303788169,0.648897309329322,0.651134283002702,0.715418478656805,0.689618658842007,0.738254783202528,0.647848318751455,0.661677989885136,0.685380849404784,0.635889481720281,0.694311634287489
"48",0.712905211558505,0.718104634184325,0.650681086784775,0.661793180441127,0.684866418959314,0.664744330064316,0.770195133102966,0.614913905628405,0.699286655916257,0.65278017891789,0.677338138857918,0.67825318947974,0.693036266666141,0.683957374189639,0.652693360322395,0.688478278085303,0.713420593984403,0.691230798916501,0.661948871940206,0.628292851087744,0.6603522467814,0.707003704619977,0.672356590546292,0.709493078466289,0.666660911762515,0.661883468770501,0.666157766294933,0.674261153790567,0.668365535059089,0.735198030161616,0.703274180780871,0.682162392318348,0.665323687775963,0.671009515405667,0.693421685188607,0.659050122039812,0.689725980248352,0.669133682748948,0.650559343969564,0.681395956694032,0.635687117852116,0.638035534973944,0.702502083247759,0.678231150905129,0.72457166026505,0.635703785479559,0.649180788047307,0.671085019124316,0.624706845361359,0.681442117963487
